gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
LOC441550,-0.02582244,9.387738088,-0.208038376,0.83532754,0.876522156,-6.41977236,unchanged
EHHADH,0.025822013,7.294731069,1.689226365,0.092122077,0.150107353,-5.05169838,unchanged
TUT1,-0.025815468,8.53357318,-0.350081864,0.726500945,0.787732492,-6.38101462,unchanged
PRR8,0.025810149,7.411373345,1.889367955,0.059720385,0.105886179,-4.704919196,unchanged
GJA4,0.025809142,7.256077494,1.725356402,0.085400915,0.141293837,-4.991911492,unchanged
AMOTL1,0.025801932,7.315166716,1.716883691,0.086940207,0.143288398,-5.006043385,unchanged
LOC642782,0.025800146,7.35761041,1.727287077,0.085053271,0.140804672,-4.988681706,unchanged
TMEM44,0.025798519,8.265931918,0.361866198,0.717683987,0.780496907,-6.376913491,unchanged
NCRNA00120,0.025795171,7.310428347,1.557605289,0.120286837,0.186329575,-5.258976827,unchanged
LOC649299,0.025787727,7.407794266,1.564692131,0.118615038,0.184112813,-5.248237734,unchanged
MPDZ,0.02578563,7.286162078,1.697132861,0.090615893,0.148167829,-5.03872116,unchanged
ERCC-00054,0.025784191,7.264177423,1.852863076,0.064795996,0.113117641,-4.77100328,unchanged
LOC641929,0.025783687,7.27238713,1.639388832,0.102086729,0.163213692,-5.132127591,unchanged
GPRC6A,-0.025783669,7.54847434,-1.740186382,0.082759978,0.137752122,-4.967011758,unchanged
LOC728765,0.025778494,7.330464926,1.643323859,0.10126984,0.162129763,-5.12586323,unchanged
HMGN3,0.025768993,7.452346203,1.541965781,0.124041773,0.190922754,-5.282506321,unchanged
LOC646194,-0.02576629,7.645928038,-1.328956436,0.184781912,0.263805077,-5.579639408,unchanged
C11orf85,0.02575911,7.340537643,1.843399497,0.066168655,0.115041066,-4.787929047,unchanged
LOC100129436,0.025759101,7.373888364,1.643855195,0.101159939,0.162019845,-5.125016238,unchanged
ASPG,0.025752419,7.370907484,1.555115791,0.120878493,0.18703404,-5.262737906,unchanged
MATN2,0.025737013,7.328639744,1.540282892,0.124451239,0.191440483,-5.285024271,unchanged
LOC729828,0.025732644,7.388764153,1.627867586,0.1045088,0.166308331,-5.150383888,unchanged
LOC645253,0.025729486,7.438003487,1.590367382,0.11271103,0.176578741,-5.208928584,unchanged
PLEKHM1,0.025727193,7.8838795,0.747383268,0.455365292,0.547633745,-6.168018168,unchanged
MEN1,0.025725588,7.42177477,1.76589036,0.078340329,0.131608569,-4.923359179,unchanged
CHST10,0.025721304,7.365405164,1.121383048,0.26294147,0.351009327,-5.827199987,unchanged
DDX21,-0.025720916,9.26225283,-0.207021575,0.836120893,0.877032519,-6.419978713,unchanged
DPF3,-0.025719888,7.488475751,-1.825876299,0.068773866,0.11842374,-4.81904551,unchanged
LOC388259,0.025719147,7.300198379,1.592212899,0.112295783,0.176136837,-5.206078809,unchanged
MGC35361,-0.025709708,7.75834884,-0.923133281,0.356613275,0.449881075,-6.024761264,unchanged
LOC642985,0.025706911,7.307790466,1.700656727,0.08995104,0.147294085,-5.032918133,unchanged
APCDD1L,0.025703309,7.40358163,1.856831412,0.064227469,0.112337303,-4.763880602,unchanged
LOC647025,0.02570281,7.2988865,1.590302807,0.112725582,0.176592735,-5.209028239,unchanged
SUV39H2,-0.025693694,7.760693627,-1.242239974,0.21503149,0.298515533,-5.688114052,unchanged
LOC285697,0.025690812,7.286571849,1.680907307,0.093728599,0.152267184,-5.065288478,unchanged
LOC644063,0.025688991,8.226405521,0.645194641,0.519250074,0.607560671,-6.23750226,unchanged
ANKRD28,-0.025688718,7.598942596,-1.510845684,0.131786223,0.200426864,-5.328630121,unchanged
LOC390595,0.025682218,7.297840157,1.694692274,0.091078686,0.14874655,-5.042733337,unchanged
